,역명,주소,위도,경도
289,신방화,서울특별시 강서구 방화대로 지하 301,37.5590009,126.8167292
290,마곡나루,서울특별시 강서구 마곡중앙5로 지하 2,37.5670522,126.8232263
291,양천향교,서울특별시 강서구 양천로 지하 341,37.5656712,126.840318
292,가양,서울특별시 강서구 양천로 지하 485,37.5656712,126.840318
293,증미,서울특별시 강서구 양천로 지하 560,37.5656712,126.840318
294,등촌,서울특별시 강서구 공항대로 지하 529,37.5556057,126.8456432
295,염창,서울특별시 강서구 공항대로 지하 631,37.5556057,126.8456432
296,신목동,서울특별시 양천구 목동중앙로 지하 217,37.53830810000001,126.8746024
297,선유도,서울특별시 영등포구 양평로 지하 124,37.5363229,126.8970992
299,국회의사당,서울특별시 영등포구 국회대로 지하 758,37.5282622,126.9071503
301,샛강,서울특별시 영등포구 의사당대로 지하 166,37.5213559,126.9249795
303,노들,서울특별시 동작구 노량진로 지하 238,37.513049,126.9421696
304,흑석,서울특별시 동작구 현충로 지하 90,37.5060174,126.9692462
306,구반포,서울특별시 서초구 신반포로 지하 17,37.5054982,127.0011512
307,신반포,서울특별시 서초구 신반포로 지하 105,37.5054982,127.0011512
309,사평,서울특별시 서초구 사평대로 지하 285,37.5018025,127.0057552
310,신논현,서울특별시 강남구 봉은사로 지하 102,37.5109479,127.047282
311,언주,서울특별시 강남구 봉은사로 지하 201,37.5109479,127.047282
312,선정릉,서울특별시 강남구 선릉로 지하 580,37.5006784,127.0489432
313,삼성중앙,서울특별시 강남구 봉은사로 지하 501,37.5109479,127.047282
314,봉은사,서울특별시 강남구 봉은사로 지하 601,37.5109479,127.047282
316,삼전,서울특별시 송파구 백제고분로 지하 189,37.5111692,127.0954263
317,석촌고분,서울특별시 송파구 백제고분로 지하 274,37.5111692,127.0954263
319,송파나루,서울특별시 송파구 백제고분로 지하 446,37.5111692,127.0954263
320,한성백제,서울특별시 송파구 위례성대로 지하 29,37.5139239,127.1219624
322,둔촌오륜,서울특별시 강동구 강동대로 지하 303,37.5221461,127.1337753
323,중앙보훈병원,서울특별시 강동구 동남로 지하 625,37.5418674,127.1528053
