,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
150,뚝섬,155,68763,306885,718318,2070209,1395044,719473,631832,696751,772640,779373,877238,1023499,1410239,2256938,1158873,736746,676720,502458,236552,49190,990,56,0,17088942,뚝섬,서울특별시
503,학동,61,46921,392852,806720,2469617,1964260,848692,538831,522028,609025,622383,677056,804882,1288887,2339429,1157862,602458,541332,398845,172823,33732,35,0,0,16838731,학동,서울특별시
242,상봉,13132,250159,501634,1199443,1734645,996711,679867,665403,753591,749474,730432,793095,943179,1157050,1637181,1324731,825886,707287,647829,378509,120933,769,0,0,16810940,상봉(시외버스터미널),서울특별시
432,잠실새내,578,78273,332515,918091,1360759,1026857,743856,745410,816921,863838,855785,966898,1078312,1311931,1658349,1164763,820032,761159,742586,413338,88361,1675,121,0,16750408,잠실새내,서울특별시
377,오목교,38,88617,310716,1011625,1608739,1081234,711786,712416,763786,810118,809103,867384,1042949,1323883,1850545,1095560,835252,700131,608209,268311,56537,154,79,0,16557172,오목교(목동운동장앞),서울특별시
220,불광,751,163419,401135,993520,1452096,1030795,803628,784205,846174,900893,894786,971515,1064394,1165540,1477825,1047988,678786,591488,484081,276326,65362,214,60,0,16094981,불광불광,서울특별시
20,개봉,18915,297601,629770,1394019,1438268,949298,703159,685579,751641,716782,712513,789884,963637,1176536,1520264,1110057,719190,654032,539412,290970,17745,6,0,0,16079278,개봉,서울특별시
153,마곡나루,221,113170,457643,1180250,2126728,954895,529979,487087,530733,566965,556709,627658,832120,1617340,1930696,1055514,692139,635404,577699,304595,95778,1725,19,0,15875067,마곡나루,서울특별시
263,석계,30899,237731,519073,1126701,1381589,864374,700596,702217,728830,750541,724513,823159,988874,1145584,1512005,1159302,730914,668201,587793,372968,88892,288,0,0,15845044,석계석계,서울특별시
78,길음,245,159344,524401,1309394,1501352,961256,726151,695816,731345,758784,734595,784324,955972,1156389,1455344,1059624,691036,630317,612103,328243,63913,289,2,0,15840239,길음,서울특별시
177,문래,101,79910,328654,1013817,2227665,1144189,603291,554085,625391,659292,632083,689451,836270,1241942,2105619,1018552,619295,603256,508489,278512,62399,1249,101,0,15833613,문래,서울특별시
62,구파발,1363,157071,538803,1405942,1396840,938550,771696,709567,749162,752285,769050,814785,963885,1060575,1357114,1056630,661814,592164,508081,313230,104647,3497,77,80,15626908,구파발,서울특별시
4,가양,1177,222054,461812,1335219,1673669,953792,666695,648722,696368,702939,680921,744896,897553,1109340,1541577,1069737,677912,628074,523434,300822,80635,1978,4,0,15619330,가양,서울특별시
186,발산,49,74603,301958,841476,1828787,993382,629028,662050,695561,747569,761174,837396,955072,1321242,1802413,984708,674028,620826,526115,253012,53000,177,71,1,15563698,발산,서울특별시
261,서초,287,86148,387777,873494,1822220,1553146,819129,794335,656234,789052,767064,807662,906994,1250424,1596010,805271,533400,525902,387796,161660,29336,186,18,0,15553545,서초,서울특별시
481,총신대입구,1344,91922,332136,846415,1316849,891529,696706,689086,742133,785166,777254,854552,967509,1173695,1549728,957984,673977,590596,517304,276002,44204,5678,5,0,14781774,총신대입구(이수)총신대입구(이수),서울특별시
179,문정,69,69967,259689,960351,2581791,1233147,552066,456575,467664,535574,552169,585376,678348,1329388,2041528,857077,546270,483148,382426,172859,33286,88,1,0,14778857,문정,서울특별시
474,청담,545,83621,436984,920398,2141774,1440967,636995,509819,534840,561890,570676,645064,781746,1130107,1750070,893153,535453,490880,381217,132050,43156,93,0,0,14621498,청담,서울특별시
208,봉은사,43,42830,239426,599759,1527196,1129999,672031,667845,718468,788115,808440,838671,956635,1312332,1667913,866909,595777,541370,377366,124155,20857,114,0,0,14496251,봉은사,서울특별시
319,신설동,6375,184922,320744,771388,1570412,978923,742806,736675,771329,824461,790624,841811,945485,1144016,1449318,737084,502665,465043,369799,215064,47160,2982,24,0,14419110,신설동신설동,서울특별시
409,을지로4가,146,43068,296631,752716,1722806,922643,670196,729722,729109,761962,782943,800667,888508,1350249,1667131,746426,458592,400793,301442,162941,35659,628,74,3,14225055,을지로4가을지로4가,서울특별시
141,동묘앞,4432,121671,223477,429928,891528,738912,740827,930750,1089325,1225274,1236506,1227287,1175638,1069990,928074,546612,373511,342028,309217,205610,52818,4539,47,0,13868001,동묘앞동묘앞,서울특별시
238,상계,600,185552,571674,1333522,1215808,787577,609966,583879,649532,626865,603142,663795,797116,916461,1132413,979458,620573,557986,535311,309904,60878,5491,25,0,13747528,상계,서울특별시
251,서대문,131,52808,269391,1116008,2423212,853278,510524,523892,515899,558279,545868,587561,720573,1184783,1828141,601083,452971,433167,321578,150868,27854,457,51,0,13678377,서대문,서울특별시
53,구로,154304,364216,422673,897329,1432363,873761,617354,564918,578278,604611,602734,681527,811442,1164717,1366873,729831,520453,485632,385855,253289,160526,477,17,0,13673180,구로,서울특별시
320,신용산,108,32420,211626,608923,1366306,1041925,586273,557490,592037,645083,629911,718634,855515,1248496,1751272,884073,624641,580950,425649,205014,27283,304,4,0,13593937,신용산,서울특별시
437,장한평,383,109321,389812,980045,1800880,866766,557113,510990,536476,540095,516547,578041,732528,1002411,1605444,914323,544379,480889,418419,239121,56578,1656,60,0,13382277,장한평,서울특별시
101,논현,437,50608,253375,652696,1536152,1344642,605587,444531,449352,492312,523540,564467,660378,1052975,1689326,926033,579102,588130,528620,289394,61893,97,1,0,13293648,논현,서울특별시
13,강동,1339,154934,400261,1077244,1506154,815987,591767,561462,593353,630900,607481,667116,761586,996342,1275492,805070,554245,489909,422596,248785,85887,315,57,0,13248282,강동,서울특별시
443,제기동,5090,90904,220816,536475,924717,730434,823919,999811,1118946,1170002,1155674,1131569,1044921,926580,866342,495624,322126,262346,203991,115624,17572,116,2,0,13163601,제기동,서울특별시
448,종합운동장,279,51286,267908,619906,930817,632559,477070,451461,570406,662480,608842,736517,997545,1298689,1366272,743722,618317,914408,888971,263032,41773,1558,27,5,13143850,종합운동장종합운동장,서울특별시
341,암사,597,201240,442375,1168229,1609632,854360,537109,500916,553281,548242,533449,592016,690991,865427,1207448,939187,565753,457295,449986,235913,58933,7680,1,0,13020060,암사,서울특별시
518,홍제,1161,146040,401974,977543,1230946,840229,650459,612849,668159,646449,640212,708891,816162,919633,1157701,853549,545784,494108,408248,240584,42884,146,51,0,13003762,홍제,서울특별시
412,응암,241,163411,425419,1043390,1384266,765732,547117,521358,572029,563937,549540,613546,718792,880874,1255716,957289,628358,519639,472375,294050,76583,147,0,0,12953809,응암,서울특별시
187,방배,44,68361,269306,634519,1378712,1023416,651900,588421,627935,648357,671795,702875,803952,1016990,1355208,743198,522151,500953,456167,220390,49610,345,86,0,12934691,방배,서울특별시
134,독산,8861,135118,403736,1198506,1936741,952450,449768,390312,426238,425713,393123,465928,612119,1163050,1549973,898417,518969,448826,353249,177481,11952,30,0,0,12920560,독산,서울특별시
499,하계,248,123447,411407,1098451,1274662,787957,588340,579340,650651,646677,619926,692456,793526,879586,1054288,885547,559238,495247,439402,265280,71077,112,0,0,12916865,하계,서울특별시
128,도봉산,3949,176081,453813,1089439,1101554,839501,746928,670290,711843,694339,704134,762148,825052,815635,911794,796683,482040,396274,350806,218906,78162,1983,24,0,12831378,도봉산도봉산,서울특별시
270,선정릉,144,53954,235741,579719,1716246,1334747,643043,503609,502183,533268,541391,541535,646662,1030134,1610090,885358,484885,430271,355824,158119,31743,71,0,0,12818737,선정릉(한국과학창의재단),서울특별시
368,염창,202,164690,429906,1133617,1396058,762709,512612,468638,512237,496997,480760,539877,633646,854046,1260926,994972,650695,556074,517830,327464,72376,9560,0,0,12775892,염창,서울특별시
174,목동,125,123522,339644,967377,1311895,730241,520426,483041,527514,555435,539579,590427,718451,937691,1397105,914221,575327,548654,527054,260842,66462,146,47,0,12635226,목동,서울특별시
265,석촌,42,89302,272933,693856,1142838,852262,585259,575537,623890,650147,629910,659123,780452,971100,1237401,857015,592253,568592,507033,261311,66358,599,2,0,12617215,석촌석촌,서울특별시
2,가락시장,1716,112564,327478,726967,1321993,755475,603832,600636,606521,620123,637847,702473,770692,977708,1314532,730290,532173,490334,396983,203994,64384,6121,37,0,12504873,가락시장가락시장,서울특별시
436,장지,248,109685,382980,946448,1351565,798763,524010,498719,557686,543766,561184,649495,787119,1010560,1285097,803531,573281,458354,369218,186808,37157,88,0,0,12435762,장지,서울특별시
348,약수,1532,120818,271951,664498,1234789,815026,571971,552000,590682,609398,606247,658757,767085,923720,1259025,752703,530519,515644,441276,233704,63682,4865,23,64,12189979,약수약수,서울특별시
384,온수,4575,195867,430290,1148151,1368615,770125,498949,475082,535975,519599,496755,560000,742473,856408,1108852,795587,496102,450254,383629,241175,76286,11694,2,0,12166445,온수온수(성공회대입구),서울특별시
415,이대,515,58155,203455,512457,990688,832738,656139,567931,696932,726311,639684,727675,788580,998898,1077416,714346,534394,525796,472362,276577,59852,1139,85,0,12062125,이대,서울특별시
221,사가정,307,167478,385145,865249,1236929,760264,537505,495612,535972,540916,527974,600011,704580,848936,1126239,904637,550371,484899,414067,234526,64102,121,0,0,11985840,사가정,서울특별시
357,어린이대공원,101,55899,204306,466803,1247480,851095,688781,628120,608996,698693,680457,665489,793637,960689,1039288,645681,452908,440428,424674,261087,57050,177,2,0,11871841,어린이대공원(세종대),서울특별시
64,국회의사당,12,34393,151077,631061,1994313,1041455,445400,428736,444740,500760,501787,475804,572271,1100144,1549243,584664,373630,353138,236409,95591,18526,153,0,0,11533307,국회의사당,서울특별시
488,태릉입구,2019,179131,304364,691675,1015926,674218,522855,558489,546178,572446,585464,619735,719441,838941,1049538,794613,505020,470715,415852,262066,99411,14824,0,0,11442921,태릉입구태릉입구,서울특별시
162,망원,81,83448,196756,465591,902258,685307,503737,547443,623042,665322,647691,715443,772816,901786,1156541,789812,532140,490042,409757,235774,40682,94,0,0,11365563,망원,서울특별시
360,여의나루,94,35038,183887,580260,1026725,456574,360647,384354,446764,526849,609273,713568,836881,1154131,1380194,774200,703194,560796,430941,167722,20112,129,13,0,11352346,여의나루,서울특별시
169,면목,779,178726,382750,852724,1291239,762451,515511,456279,512888,508458,476972,556303,701303,762294,960538,834751,495849,424593,386959,211801,61489,101,0,0,11334758,면목,서울특별시
84,남구로,1100,249146,307180,802101,1700942,900175,449837,375004,378295,394071,365337,427564,572819,937762,1335468,704451,422215,382370,294413,149596,29511,49,0,0,11179406,남구로,서울특별시
335,아차산,160,133819,295745,730107,1136727,678560,540060,520700,558552,572260,575590,644885,726633,821881,1045751,706980,470039,417506,348703,186557,44563,125,19,0,11155922,아차산(어린이대공원후문),서울특별시
105,답십리,353,131998,332787,883823,1399728,712267,482070,444608,484113,504939,473097,529898,622711,808112,1160192,701113,457177,405005,351688,194148,50130,321,74,0,11130352,답십리,서울특별시
182,미아,849,167575,349608,802478,1088602,687762,522899,535830,537619,544411,559601,612371,702218,795676,963707,715043,456885,403397,351529,201517,37159,219,1,0,11036956,미아,서울특별시
311,신대방삼거리,360,144855,310373,805261,1244625,765492,488189,447365,482996,474632,472535,509939,608560,717979,1065607,759957,493905,452355,385236,242391,72711,210,0,0,10945533,신대방삼거리,서울특별시
97,녹번,824,137003,380284,1014401,1210846,723259,490317,436356,465162,447902,436895,477671,581635,705480,1050760,788893,491390,433796,380334,216639,42904,111,33,0,10912895,녹번,서울특별시
394,우장산,8,96316,342249,917181,1046514,604434,481300,469662,517987,531849,513410,585263,688382,748764,946836,706529,436678,392624,384720,206274,46964,132,25,2,10664103,우장산,서울특별시
485,충정로,629,69110,231829,718883,1615086,763548,420637,401017,408606,457568,453333,463606,548495,853798,1369497,555738,373999,365851,305116,174271,41250,1537,82,5,10593491,충정로(경기대입구)충정로(경기대입구),서울특별시
298,숙대입구,161,46224,190697,517174,967036,634900,511193,482118,513578,523553,522095,564309,722363,888513,1146970,644099,489484,475075,423160,224710,33638,375,2,0,10521427,숙대입구(갈월),서울특별시
508,한성대입구,776,98205,253906,611208,851808,652902,525141,507522,556460,573297,559670,598606,738415,815306,888029,639626,466747,428457,375940,215732,82853,16230,105,0,10456941,한성대입구(삼선교),서울특별시
93,내방,68,48352,232058,555599,1437356,872208,465689,402482,429630,468252,454094,486871,565698,814502,1311124,618614,407844,381423,296306,141642,46890,2083,5,0,10438790,내방,서울특별시
431,잠실나루,199,65758,290500,767421,1088221,711941,558118,522455,562450,555438,544965,576861,660600,817539,895802,564109,380764,338437,307537,163281,37941,600,26,0,10410963,잠실나루,서울특별시
246,상일동,573,143559,480128,1158981,943670,561432,430730,380975,437443,432610,402066,490449,541605,702894,957582,787453,444076,395298,342752,209857,89259,15075,8,0,10348475,상일동,서울특별시
244,상왕십리,689,79352,254175,674414,1263499,701764,457856,415188,463978,465703,461010,510721,593776,766235,1031768,689687,454039,423076,369799,208954,54723,502,47,0,10340955,상왕십리,서울특별시
159,마포,240,46674,206665,617535,1387596,685849,409854,423080,424548,446266,418662,454276,541496,845931,1348774,615321,437777,448568,356417,183376,33216,131,54,2,10332308,마포,서울특별시
299,숭실대입구,131,86052,213599,587375,973662,664268,616096,501315,470055,532122,526762,525877,676896,782012,907415,640213,445784,428039,408354,259052,63543,121,0,0,10308743,숭실대입구(살피재),서울특별시
452,중계,150,146451,377825,1006441,1159883,634280,455794,434184,492123,464698,423477,467888,568348,655491,804436,712085,427487,390331,349097,203153,54792,125,0,0,10228539,중계,서울특별시
419,이촌,1204,49816,234094,504499,802032,647934,545259,534479,613533,649527,641276,702793,795786,862393,908792,500506,362883,333145,255306,123335,24585,384,1,0,10093562,이촌(국립중앙박물관),서울특별시
114,대방,6683,115896,275244,835466,1192652,633254,427054,408497,446357,465610,440769,479533,536503,790518,1083279,560926,404020,400168,325587,178440,28356,563,2,0,10035377,대방,서울특별시
160,마포구청,224,116282,266902,703048,1182348,671674,453163,418459,463042,465996,437777,489940,549471,701039,1013506,633228,432025,382316,363083,207137,44913,113,1,0,9995687,마포구청,서울특별시
46,광나루,83,93014,312508,720186,1035539,642450,506816,454211,480802,499248,485098,525966,631843,725674,940304,576544,404385,405166,342291,169747,35103,334,36,0,9987348,광나루(장신대),서울특별시
228,삼각지,262,45328,219930,556252,919458,522186,393344,421951,468805,507861,489730,533174,638273,852450,1126546,596610,442359,434497,405816,233865,47426,303,3,0,9856429,삼각지삼각지,서울특별시
386,올림픽공원,423,67388,273049,510410,770512,514581,448638,447913,516973,526128,528865,611844,703528,787801,831974,565259,496754,546145,470126,190458,34808,334,14,0,9843925,올림픽공원(한국체대)올림픽공원(한국체대),서울특별시
420,이태원,1343,155289,209862,274348,532439,445258,352949,359999,413817,447581,470411,528276,649087,780029,948570,755300,600017,590838,564394,409231,90988,376,1,0,9580403,이태원,서울특별시
290,수락산,690,133579,342461,734108,861155,602269,486797,446112,475378,460583,458667,500751,565193,633493,788138,712296,432857,354094,304932,188192,59669,163,9,0,9541586,수락산,서울특별시
304,신길,9916,182820,292845,807640,1266194,581458,347861,323000,370593,356928,337198,380495,483456,692978,1071198,561784,401330,408702,343676,200923,41467,217,69,0,9462748,신길신길,서울특별시
339,안암,215,46361,148058,339358,758832,599379,624614,483359,474870,570794,475022,580082,672942,812166,793909,488510,374893,391398,408739,269638,68603,1520,4,0,9383266,안암(고대병원앞),서울특별시
155,마들,241,147333,373752,929479,963801,539931,410370,397754,430762,413571,405203,450020,501633,554319,750342,705515,408676,341721,318870,198583,55679,99,4,0,9297658,마들,서울특별시
323,신정,983,170025,353840,945018,1190162,597183,368133,338291,359545,355899,334466,385890,470860,567889,828931,577116,372828,354203,328427,192625,48344,156,31,0,9140845,신정(은행정),서울특별시
248,새절,344,148539,318508,789562,995036,572108,385609,369300,405077,415246,379015,444117,528289,611867,815328,641144,389178,347461,309152,194746,61523,239,16,0,9121404,새절(신사),서울특별시
124,도곡,1363,52135,257463,604072,902981,675867,423309,423087,427240,454744,460341,524424,623670,779630,841646,527823,355025,308463,265893,115912,30895,2618,12,15,9058628,도곡,서울특별시
40,공릉,313,93417,243558,619933,852402,538917,401044,378406,434066,445940,425585,477706,573591,642474,828165,641314,403609,370297,344962,216484,59209,115,0,0,8991507,공릉(서울과학기술대),서울특별시
404,월곡,259,96670,224516,617236,958060,559180,423562,394033,397556,419891,414921,440567,551745,621257,871610,588593,370322,342525,284121,178414,44841,127,0,0,8800006,월곡(동덕여대),서울특별시
118,대치,206,45550,263130,558516,709877,467006,365676,352796,422779,479446,438983,489662,598924,784588,756629,528433,338656,378762,552142,127990,24743,108,14,11,8684627,대치,서울특별시
73,금천구청,8427,173297,311032,798930,938514,491577,368818,346257,376498,386347,351527,422191,476043,613493,923624,588333,348359,326245,254575,144542,10575,20,0,0,8659224,금천구청,서울특별시
166,매봉,107,29024,204798,513098,1212659,634579,364854,344301,334735,349739,366762,406191,461504,744358,1122124,480432,324582,324179,243239,102174,20263,589,19,2,8584312,매봉,서울특별시
239,상도,88,89147,227593,544914,870397,568972,440949,383763,409157,410897,412188,433864,513543,607731,820699,526823,380678,351606,323693,209258,50528,114,0,0,8576602,상도,서울특별시
375,오류동,7602,183891,314768,733856,798735,514569,391422,372105,425185,406447,389240,426998,489674,570933,740845,591268,375866,339847,290680,176228,11121,7,0,0,8551287,오류동,서울특별시
510,한양대,117,19315,108273,221956,810131,743669,625862,367291,582564,532096,502629,504993,600935,778648,702803,348834,272972,284268,227661,152441,31467,261,48,2,8419236,한양대,서울특별시
329,신풍,1739,185990,284781,675755,911680,552059,371482,343908,363811,365207,349063,391948,481535,592937,774808,533556,344254,312022,280505,148983,44108,4945,14,0,8315090,신풍,서울특별시
148,등촌,148,83660,243823,676312,963698,475227,356018,353948,377340,377923,368649,411057,463520,552666,797112,593178,364474,288566,261268,166460,39077,142,0,0,8214266,등촌,서울특별시
470,천왕,175,115046,299338,796131,967780,526587,326649,298322,333823,329883,316335,359138,443830,542060,787630,591021,351187,294308,249501,152942,38877,1735,1,0,8122299,천왕,서울특별시
87,남성,224,91265,227487,584105,926700,590402,389953,360063,370016,381231,360632,398021,453908,535768,735797,522124,353477,325869,281388,164210,43210,118,0,0,8095968,남성,서울특별시
243,상수,838,74229,120936,216038,503093,493953,343189,338455,406298,453767,425959,438380,528084,659362,832423,572105,428674,428260,417038,298164,61172,155,0,0,8040572,상수,서울특별시
371,영등포시장,39,45730,144399,463728,914348,487342,347230,347039,414789,468163,421743,436497,503854,622495,919015,465229,308109,290559,243792,136210,26273,103,59,0,8006745,영등포시장,서울특별시
458,중화,385,125354,260728,586701,896178,486917,338445,324219,355120,344637,335513,376455,455954,543940,726082,574174,350158,312314,277347,159622,43722,942,0,0,7874907,중화,서울특별시
521,화랑대,304,92348,314577,874367,924929,496225,342359,323376,324527,350565,308853,355641,425980,523187,650054,516566,306606,278144,243883,156440,47193,444,0,0,7856568,화랑대(서울여대입구),서울특별시
324,신정네거리,701,120073,274570,710342,746115,438865,324823,317491,343737,345454,327033,374260,447622,554083,767263,568495,334470,307497,269765,170410,41934,2499,4,0,7787506,신정네거리,서울특별시
138,동대입구,259,36671,155538,279951,789710,564586,445355,424337,383477,431514,446016,426634,506976,653978,854071,388845,305590,333116,251547,92423,14894,715,16,9,7786228,동대입구,서울특별시
200,보라매,184,86386,175394,507929,964563,479427,334322,323547,353440,353820,350213,380150,452862,556297,846392,504216,339352,308723,268970,152324,46590,515,0,0,7785616,보라매,서울특별시
359,언주,13,33460,163305,364246,962392,722726,422356,306860,313315,353785,344180,378223,453889,693897,931148,490843,291424,252612,190417,92646,21162,630,0,0,7783529,언주,서울특별시
336,아현,452,73242,219917,522009,803296,478517,368009,342797,383190,387549,378891,421251,519005,569278,691134,477359,331085,302988,261408,148706,35646,464,44,0,7716237,아현,서울특별시
453,중곡,39,88056,225448,600957,961325,538716,339983,305796,333581,332437,320900,370748,457407,552974,717047,521450,323570,289672,249051,131164,36440,78,0,0,7696839,중곡,서울특별시
356,양평,950,59227,207487,581142,1029993,473259,331575,328412,356088,338389,345910,367348,418225,567294,861043,428704,318779,259318,222296,136977,33645,83,15,0,7666159,양평,서울특별시
505,한강진,791,22488,124110,304566,591295,431568,302931,324919,348248,434837,401563,481732,614363,736902,850837,496291,342144,349217,368777,90349,27265,1946,67,0,7647206,한강진,서울특별시
14,강동구청,196,77593,219151,585617,967601,493636,334121,311502,325026,346759,339593,371517,434241,547009,810929,468673,309313,290431,237843,122380,34246,58,0,0,7627435,강동구청,서울특별시
152,마곡,42,65347,204069,508879,963424,582400,323569,288327,303969,328852,328165,365364,458887,622760,870883,489510,299829,262084,222881,105446,31896,95,25,0,7626703,마곡,서울특별시
528,효창공원앞,229,51966,173980,459316,988763,583036,349399,317375,335681,352060,327375,357301,441976,548674,850045,458268,299068,278909,236406,147097,34055,71,0,0,7591050,효창공원앞,서울특별시
168,먹골,121,110168,215500,534304,791054,460241,333004,326928,355057,350442,334083,376936,443642,523544,687213,564808,352364,307939,269053,155020,41380,1743,0,0,7534544,먹골,서울특별시
428,일원,94,48767,251676,708092,634331,470407,436473,392954,420731,413019,417070,462541,551740,663326,501848,355917,228514,199526,195618,86075,18078,268,9,3,7457077,일원,서울특별시
460,증산,357,109795,249833,583547,762515,461074,323154,306444,325728,331177,322771,358305,426696,505175,713986,531507,329520,312001,268775,159688,45135,95,0,0,7427278,증산(명지대앞),서울특별시
151,뚝섬유원지,185,74344,177342,365730,568205,400982,267405,260485,296970,337967,362879,423482,500634,592103,732651,565831,457104,437040,359690,175186,33629,128,0,0,7389972,뚝섬유원지,서울특별시
189,방학,10329,175903,267691,564331,670392,418375,365350,344587,392597,363597,370484,410887,468984,527773,618065,487353,291579,248676,209488,116755,36830,14,0,0,7360040,방학,서울특별시
88,남영,1316,48574,151840,444439,920604,517379,321758,293166,308833,312123,308112,362923,445878,587103,856984,422658,314718,304645,262474,137604,9148,10,0,0,7332289,남영,서울특별시
24,거여,25,91227,262471,740252,789451,427892,299211,278487,294443,323017,293608,327810,452009,502141,677136,525465,294320,261582,257490,132339,38930,120,19,5,7269450,거여,서울특별시
117,대청,898,62069,225829,574378,795857,418837,315160,288081,307435,327441,321758,385302,476465,566719,698807,446075,303081,269025,262539,129561,28557,130,18,11,7204033,대청,서울특별시
32,고덕,81,75988,227808,587744,561383,392468,352234,346097,362528,400573,373491,425284,509149,517783,602165,459783,272233,265336,254296,113345,40506,1929,2,0,7142206,고덕,서울특별시
355,양천향교,134,72453,227602,546444,936176,420486,272254,259935,294319,288429,291807,310507,368299,521219,780352,485594,310963,268810,245740,154149,42578,127,0,0,7098377,양천향교,서울특별시
374,오금,476,70841,206917,636325,935664,437676,294464,266241,300899,299033,280998,326243,398649,533845,709789,399446,270043,239047,243694,130235,39636,124,16,0,7020301,오금오금,서울특별시
69,굽은다리,26,99721,218387,545754,676313,418999,321967,320760,337962,348860,336418,351424,426189,473629,648520,470884,308092,277692,258625,124102,40774,122,5,0,7005225,굽은다리(강동구민회관앞),서울특별시
135,돌곶이,185,96589,229202,578149,772060,449859,327382,279257,315016,324470,317777,339314,383540,469404,607178,483380,288140,250811,236923,136087,38382,112,2,0,6923219,돌곶이,서울특별시
529,흑석,222,59944,157887,370941,594437,392670,359455,326022,367900,372978,363613,399356,476430,574994,640216,386606,302040,273814,261821,155396,33645,324,0,0,6870711,흑석,서울특별시
383,옥수,3342,50093,184986,404290,582310,416784,315927,319493,329372,351775,361219,395622,454766,553758,658815,459697,323164,295435,257831,128174,23430,55,13,2,6870353,옥수,서울특별시
388,외대앞,7116,104041,185805,305732,579785,330521,346411,342876,365252,346214,383864,386842,470948,536497,542993,397011,287904,287078,274588,183967,30711,92,0,0,6696248,외대앞,서울특별시
434,장승배기,137,94916,207388,440762,724276,461958,329848,310482,320034,329652,313832,344068,399000,447298,613334,404473,277599,256129,223995,132078,38667,88,0,0,6670014,장승배기,서울특별시
120,대흥,204,43391,120499,386001,716831,423623,344996,296580,346056,384899,322931,358088,430132,534477,637421,377724,263352,257468,257474,136344,28743,138,0,0,6667372,대흥(서강대앞),서울특별시
203,보문,367,65563,171163,468480,800705,440284,299144,280833,304579,318418,291229,326172,386872,456687,628811,403189,280800,266102,252752,166304,43520,121,3,0,6652098,보문,서울특별시
171,명일,109,82283,228776,548963,589403,370579,329501,302902,307181,324176,307541,337493,425437,422085,638597,477797,278662,249499,233320,126168,39270,203,5,0,6619950,명일,서울특별시
106,당고개,736,107667,259662,588006,602832,420487,335186,311616,320795,321647,317797,334502,379920,420925,494895,425643,282368,246984,217529,146253,40372,3739,17,0,6579578,당고개,서울특별시
51,광흥창,59,54980,160491,452758,799297,464599,306220,287922,315763,297335,288375,323203,356509,479191,703188,401324,257236,233704,204838,110090,25677,82,0,0,6522841,광흥창(서강),서울특별시
287,송파,56,47814,185685,492562,678825,399781,303075,284481,308960,320158,310272,358292,416319,468335,603597,423506,258404,233281,206108,108907,26725,2166,0,0,6437309,송파,서울특별시
206,복정,149,83173,242760,495333,686128,431466,285492,228533,281714,256704,249641,293192,385916,519123,675133,437064,284604,244722,219632,96805,19554,62,2,0,6416902,복정,서울특별시
33,고려대,337,58650,156916,425034,730045,387598,300502,268148,277090,337714,272161,323197,422633,486152,611479,379718,260113,272658,252194,153752,36761,727,1,0,6413580,고려대(종암),서울특별시
146,둔촌동,30,61616,225135,444788,605224,355723,283404,275400,293871,315914,302797,345221,420680,511365,650588,415575,240576,233198,192765,102240,20564,59,14,0,6296747,둔촌동,서울특별시
210,봉화산,305,78011,231727,698776,683069,354654,269556,243111,267523,271513,255407,281740,326842,421176,545435,458807,272299,232428,221422,130660,40081,2291,0,0,6286833,봉화산(서울의료원),서울특별시
249,샛강,132,39347,121331,402156,876878,377045,242081,241274,236142,261326,271252,285505,333132,553547,833642,349442,253585,239722,190255,97648,27928,535,0,0,6233905,샛강,서울특별시
49,광운대,27844,93994,198934,466855,572466,333318,285167,320143,293057,313260,318442,317917,383058,418679,496735,356409,250666,231447,193437,154620,60440,327,0,0,6087215,광운대,서울특별시
77,길동,99,69575,168202,382392,572902,370769,290108,295117,321944,321992,321018,344466,411206,452290,564951,380885,247858,213700,185868,96110,35026,76,5,0,6046559,길동,서울특별시
322,신이문,18148,138123,232734,516102,615739,346002,277240,264392,281835,286448,269030,313746,364206,408086,521692,390974,252159,213084,189875,119266,21403,68,0,0,6040352,신이문,서울특별시
269,선유도,13,42711,137655,476230,896035,404451,210379,214359,222882,228263,225692,248082,304478,495469,766597,386581,223246,197525,165396,90116,24688,70,2,0,5960920,선유도,서울특별시
61,구일,3835,72984,179859,447728,488448,318917,219725,213847,275942,311590,243914,297194,394695,492707,568783,356858,244125,271568,239050,105848,4950,8,0,0,5752575,구일,서울특별시
75,금호,342,65774,164849,393399,585964,383033,277735,253847,268437,279230,269399,301024,346807,420489,536177,370640,262081,222003,207842,105259,21030,62,11,4,5735438,금호,서울특별시
132,독립문,2033,73699,142833,377187,495910,408234,371611,324516,337171,340789,334306,357797,387163,399476,426030,273546,187277,161800,138234,74862,35153,6469,22,48,5656166,독립문,서울특별시
513,행당,286,60245,180660,469814,681592,366539,255176,238833,254862,252339,249178,279200,317651,385969,534986,353577,236108,216033,188123,103751,27672,119,17,1,5652731,행당,서울특별시
