,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
365,역촌,32,30930,101019,245705,322273,166441,123783,125271,143884,141315,132859,139582,170294,201878,292924,223996,126285,123432,105553,70431,18011,16,0,0,3005914,역촌,서울특별시
315,신목동,20,31669,112819,312103,344633,169528,123362,118746,117541,124394,118296,123732,167486,203685,261775,188544,110969,115626,102056,55187,19293,1193,1,0,2922658,신목동,서울특별시
316,신반포,16,18819,180668,175611,227193,149612,126666,109304,124098,145126,143044,179297,264428,269973,263644,168522,112270,105502,87533,41095,7427,23,0,0,2899871,신반포,서울특별시
225,사평,11,13744,61265,200694,278085,157197,123089,120070,134092,143263,141437,151837,196476,218586,251838,179595,111827,100754,97780,47234,11222,29,0,0,2740125,사평,서울특별시
144,동작,227,22701,75756,152915,224849,170465,146876,146754,145168,150647,151036,159799,173817,197590,226874,130789,108661,87715,72635,42408,17352,3749,3,0,2608786,동작(현충원)동작(현충원),서울특별시
467,창신,140,37520,94118,259247,301422,165660,110949,99573,105747,105507,97148,113012,138798,153406,184338,136460,98882,86329,78058,48028,11923,15,0,0,2426280,창신,서울특별시
41,공항시장,104,46392,76008,156665,196275,125113,101640,100398,111932,111659,106284,119463,141143,160136,196514,167460,114631,99345,87383,59952,19236,69,1,0,2297803,공항시장,서울특별시
389,용답,57,33499,58818,128629,223059,160844,106557,93154,104222,116638,103783,118858,153520,160190,194544,128661,88305,93677,85581,51559,13021,23,0,0,2217199,용답,서울특별시
133,독바위,23,32481,75837,203459,205890,126600,101327,85453,95728,88276,86950,97270,116792,128336,184936,156274,93850,78352,75197,49145,15906,27,0,0,2098109,독바위,서울특별시
509,한성백제,0,16412,54248,120129,207887,131604,91699,88177,96458,102558,102929,106999,122104,146482,206543,124492,84146,74934,64987,34547,10949,20,1,0,1988305,한성백제,서울특별시
504,학여울,77,9988,45262,98657,172298,125181,109020,100178,114322,125161,124603,132030,140581,156012,160546,83087,56053,49496,38363,19274,4488,21,0,2,1864700,학여울,서울특별시
390,용두,479,17000,34602,98106,193097,107166,91169,93305,93915,105401,107253,115436,118416,125433,174889,101351,59946,58528,41215,24785,6950,130,2,0,1768574,용두(동대문구청),서울특별시
196,버티고개,58,14534,38912,96989,166545,106026,77782,69618,75960,77982,76422,88594,95792,121029,158949,104914,68196,63739,57892,33860,7509,465,2,0,1601769,버티고개,서울특별시
306,신내,196,22698,80121,173735,198071,84644,62875,59241,61336,67076,60635,83366,100578,119097,152896,94521,51248,45127,41073,24711,8310,6,0,0,1591561,신내,서울특별시
308,신답,113,16970,32271,95849,168682,76854,47422,43704,47289,47750,49383,57810,72531,87337,153934,104131,52417,56234,46620,30756,7069,43,0,0,1295169,신답,서울특별시
126,도림천,16,9245,27920,92593,122959,55511,45751,38296,54685,42907,49769,52156,66135,66490,86961,56786,33984,30137,21696,13976,3860,87,3,0,971923,도림천,서울특별시
91,남태령,627,6992,30488,80101,118228,66199,47195,45573,47752,43561,44394,46030,61550,87441,77960,43519,35228,25529,16189,8940,1848,0,1,0,935345,남태령,서울특별시
57,구반포,11,5234,33194,53164,82320,61759,37687,37750,43763,48931,47971,52814,64738,78151,92892,47085,29313,24411,20683,9624,3024,27,0,0,874546,구반포,서울특별시
147,둔촌오륜,2,8233,35309,84850,82697,45771,29934,30394,30659,33606,32187,43699,74177,58302,65787,46392,27969,26746,25234,12738,3831,410,1,0,798928,둔촌오륜,서울특별시
