호선명,역명,사용월,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
2호선,합정,2629183,1287,167019,418776,977739,1949015,1590756,1025005,1037629,1149785,1285353,1261529,1326111,1556386,2052960,3003953,2004116,1348842,1347469,1245901,716465,159876,3043,205,0,25629220,합정,서울특별시
2호선,홍대입구,2629183,13633,411208,626245,1288439,2393497,2410480,1870588,2183136,2609619,2914415,2927955,3217668,3704383,4454356,5354261,4036141,3125844,3254486,3104582,1741317,337180,22537,553,113,52002636,홍대입구,서울특별시
3호선,가락시장,2629183,663,42667,168576,409534,660589,405205,324322,322311,330805,335155,341482,375975,416315,522953,690083,384211,272809,238596,196691,98073,26914,662,8,0,6564599,가락시장,서울특별시
3호선,경복궁,2629183,1008,54411,261853,701519,1893991,1385123,1041879,1049117,1073217,1156293,1197606,1250349,1358405,1569260,1919757,915684,689283,662625,471078,199821,29692,543,474,5,18882993,경복궁(정부서울청사),서울특별시
3호선,경찰병원,2629183,285,39775,136575,404296,694578,381419,259287,222538,225231,247450,234180,252470,263773,400362,539746,306612,207421,180713,156364,79770,20159,79,2,0,5253085,경찰병원,서울특별시
3호선,고속터미널,2629183,1400,118041,539727,972778,1552446,1896363,1937789,2210813,2303391,2428448,2619183,2841074,2976384,3270182,3309030,2493833,2291852,1557496,1024852,429362,46321,200,54,0,36821019,고속터미널,서울특별시
3호선,교대,2629183,915,27349,139312,376408,793609,621033,378606,351688,371812,429057,457004,469307,515490,798329,1119395,517590,407015,410192,364210,138848,19852,82,31,0,8707134,교대(법원·검찰청),서울특별시
3호선,구파발,2629183,1363,157071,538803,1405942,1396840,938550,771696,709567,749162,752285,769050,814785,963885,1060575,1357114,1056630,661814,592164,508081,313230,104647,3497,77,80,15626908,구파발,서울특별시
3호선,금호,2629183,342,65774,164849,393399,585964,383033,277735,253847,268437,279230,269399,301024,346807,420489,536177,370640,262081,222003,207842,105259,21030,62,11,4,5735438,금호,서울특별시
3호선,남부터미널,2629183,617,54677,451543,1168912,2520464,1550670,1079861,979065,1018016,1138313,1137587,1187088,1415343,1991683,2563763,1339346,893924,776984,633852,243573,33542,151,29,0,22179003,남부터미널(예술의전당),서울특별시
