호선명,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
2호선,방배,3,5259,20716,48809,106055,78724,50146,45263,48303,49874,51677,54067,61842,78230,104247,57169,40165,38535,35090,16953,3816,27,7,0,994976,방배,서울특별시
2호선,봉천,75,16595,34768,92654,146945,94157,60140,54605,58717,60337,57846,65161,73472,85560,117561,92556,60547,56644,51634,29364,7962,333,5,1,1317637,봉천,서울특별시
2호선,사당,110,16461,60326,120482,169186,128817,93265,98362,105763,105053,108587,121872,146444,195788,262780,181440,131234,133750,128698,75920,15959,581,20,0,2400898,사당,서울특별시
2호선,삼성,174,9799,47700,147356,352308,259737,135451,119209,122866,144405,146785,159102,182560,277343,367288,190119,134357,117093,78799,26177,6871,995,8,11,3026512,삼성(무역센터),서울특별시
2호선,상왕십리,53,6104,19552,51878,97192,53982,35220,31938,35691,35823,35462,39286,45675,58941,79367,53053,34926,32544,28446,16073,4209,39,4,0,795458,상왕십리,서울특별시
2호선,서울대입구,4257,30214,56993,153373,241969,182391,122874,107054,117780,127139,120194,131832,151072,189825,262185,198130,133114,129708,124611,71927,21933,3017,25,13,2681630,서울대입구(관악구청),서울특별시
2호선,서초,22,6627,29829,67192,140171,119473,63010,61103,50480,60696,59005,62128,69769,96186,122770,61944,41031,40454,29830,12435,2257,14,1,0,1196427,서초,서울특별시
2호선,선릉,125,11035,51572,132496,312895,253465,139772,108631,112446,127986,126200,139854,164950,243298,348139,179258,113185,108131,93218,38510,8101,149,10,0,2813423,선릉,서울특별시
2호선,성수,61,9429,39373,97066,293714,173782,86433,76319,84601,96177,99484,108481,125182,185823,305676,151428,96132,86595,66473,32340,8760,839,12,12,2224190,성수,서울특별시
2호선,시청,71,2624,19429,68434,216420,95363,44052,47982,48167,54670,57171,61774,67455,115151,187748,68044,50463,47911,32370,14413,2725,76,52,0,1302563,시청,서울특별시
