,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총승차인원(평균),호선명,지하철역,주소
108,방학,795.0,13531.0,20592.0,43410.0,51569.0,32183.0,28104.0,26507.0,30200.0,27969.0,28499.0,31607.0,36076.0,40598.0,47543.0,37489.0,22429.0,19129.0,16114.0,8981.0,2833.0,1.0,0.0,0.0,566157.0,1호선,방학,서울특별시
47,남영,101.0,3736.0,11680.0,34188.0,70816.0,39798.0,24751.0,22551.0,23756.0,24009.0,23701.0,27917.0,34298.0,45162.0,65922.0,32512.0,24209.0,23434.0,20190.0,10585.0,704.0,1.0,0.0,0.0,564022.0,1호선,남영,서울특별시
12,거여,2.0,7017.0,20190.0,56942.0,60727.0,32915.0,23016.0,21422.0,22649.0,24847.0,22585.0,25216.0,34770.0,38626.0,52087.0,40420.0,22640.0,20122.0,19807.0,10180.0,2995.0,9.0,1.0,0.0,559188.0,5호선,거여,서울특별시
62,대청,69.0,4775.0,17371.0,44183.0,61220.0,32218.0,24243.0,22160.0,23649.0,25188.0,24751.0,29639.0,36651.0,43594.0,53754.0,34313.0,23314.0,20694.0,20195.0,9966.0,2197.0,10.0,1.0,1.0,554156.0,3호선,대청,서울특별시
16,고덕,6.0,5845.0,17524.0,45211.0,43183.0,30190.0,27095.0,26623.0,27887.0,30813.0,28730.0,32714.0,39165.0,39829.0,46320.0,35368.0,20941.0,20410.0,19561.0,8719.0,3116.0,148.0,0.0,0.0,549400.0,5호선,고덕,서울특별시
217,을지로4가,6.0,1656.0,11409.0,28951.0,66262.0,35486.0,25777.0,28066.0,28043.0,29306.0,30113.0,30795.0,34173.0,51933.0,64120.0,28709.0,17638.0,15415.0,11594.0,6267.0,1372.0,24.0,3.0,0.0,547118.0,2호선5호선,을지로4가을지로4가,서울특별시
19,공덕,51.0,3025.0,9781.0,32737.0,70562.0,37101.0,21255.0,21286.0,22131.0,23012.0,22300.0,24211.0,29184.0,46080.0,70865.0,33389.0,23388.0,23375.0,19705.0,10672.0,2453.0,32.0,2.0,0.0,546597.0,5호선6호선,공덕공덕,서울특별시
187,양천향교,10.0,5573.0,17508.0,42034.0,72014.0,32345.0,20943.0,19995.0,22640.0,22187.0,22447.0,23885.0,28331.0,40094.0,60027.0,37353.0,23920.0,20678.0,18903.0,11858.0,3275.0,10.0,0.0,0.0,546029.0,9호선,양천향교,서울특별시
36,굽은다리,2.0,7671.0,16799.0,41981.0,52024.0,32231.0,24767.0,24674.0,25997.0,26835.0,25878.0,27033.0,32784.0,36433.0,49886.0,36222.0,23699.0,21361.0,19894.0,9546.0,3136.0,9.0,0.0,0.0,538863.0,5호선,굽은다리(강동구민회관앞),서울특별시
76,동묘앞,170.0,4680.0,8595.0,16536.0,34290.0,28420.0,28493.0,35798.0,41897.0,47126.0,47558.0,47203.0,45217.0,41153.0,35695.0,21024.0,14366.0,13155.0,11893.0,7908.0,2031.0,175.0,2.0,0.0,533385.0,1호선6호선,동묘앞동묘앞,서울특별시
72,돌곶이,14.0,7430.0,17631.0,44473.0,59389.0,34605.0,25183.0,21481.0,24232.0,24959.0,24444.0,26101.0,29503.0,36108.0,46706.0,37183.0,22165.0,19293.0,18225.0,10468.0,2952.0,9.0,0.0,0.0,532555.0,6호선,돌곶이,서울특별시
