,사용월,호선명,지하철역,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원
4717,202210,경의선,홍대입구,8,462,1647,3702,8838,7868,6143,5918,7295,8060,8343,8947,10617,12303,15400,10578,8038,8464,7754,4030,253,0,0,0,144668
4718,202210,경의선,화전,0,1054,3744,6309,13911,12415,13445,8635,8641,10226,10450,8695,13072,11859,10882,7017,4337,4503,4183,2359,696,0,0,0,156433
4719,202210,경의선,효창공원앞,2,971,4010,10448,25369,15614,8010,7310,7639,8174,8398,8941,11085,13881,21990,11720,7905,7566,6497,4136,318,0,0,0,189984
4720,202210,경인선,간석,373,7450,13861,27366,29594,17891,15481,15386,16501,16547,15698,18566,21582,24485,28403,22333,15172,12636,10902,7137,1807,0,0,0,339171
4721,202210,경인선,개봉,1689,23001,48056,104729,112110,74541,56792,55507,61445,58085,58366,62596,79546,93155,116073,84031,56270,51248,42277,22587,1488,1,0,0,1263593
4722,202210,경인선,구일,319,5869,13696,33110,38242,26576,18562,17884,22288,25556,19336,21841,29762,43477,47224,27292,16709,23392,19779,7532,478,4,0,0,458928
4723,202210,경인선,도원,628,3783,5985,13666,27273,9191,9218,9162,10374,10135,9408,13345,18435,15611,17138,9881,6657,7217,4374,2766,1186,0,0,0,205433
4724,202210,경인선,도화,341,5123,9048,21034,20969,12497,11815,11783,12598,12716,11850,13003,15700,17732,18407,14088,9613,7814,6557,4710,1514,0,0,0,238912
4725,202210,경인선,동암,804,24333,42172,74739,76185,51373,43177,41578,45485,44632,41866,47728,57567,72039,83427,68486,45843,41808,36477,22114,4559,0,0,0,966392
4726,202210,경인선,동인천,1766,10271,27837,62146,66298,40273,41551,45735,46452,47944,47447,52008,58235,68352,77711,50844,33209,28388,22178,12671,3143,9,0,0,844468
4727,202210,경인선,백운,171,10345,18261,32288,33892,22371,19172,19678,20592,20181,18490,21695,26425,29995,32789,26739,17423,15751,13512,8343,1731,0,0,0,409844
4728,202210,경인선,부개,1991,12132,21367,45068,43875,27309,21654,22241,23881,22975,21781,25104,31494,34854,39613,32582,20154,18455,15958,10176,1623,0,0,0,494287
4729,202210,경인선,부천,3187,43926,56786,122325,153687,109667,89200,92808,104119,108742,104108,113303,131862,152598,178675,139628,91075,81943,68586,41571,3871,2,0,0,1991669
4730,202210,경인선,부평,9302,29425,51027,100853,111917,85229,76842,84263,96062,102663,101363,111177,131644,150835,177994,141977,94012,86657,73443,42879,8661,1,0,0,1868226
4731,202210,경인선,소사,1273,20029,21398,39225,43828,31643,27222,26144,29137,26970,26519,28651,35637,39685,42016,32081,21993,19070,16103,10958,1591,0,0,0,541173
4732,202210,경인선,송내,2021,27445,57329,138502,166194,93350,64914,63680,67585,65301,62675,70264,87086,110273,165662,114569,72386,63723,55727,30990,3135,0,0,0,1582811
4733,202210,경인선,역곡,1254,33462,56012,130370,151285,107584,72924,70982,76032,76540,71930,79130,100860,121422,152220,117011,73573,68857,58060,37958,2145,0,0,0,1659611
4734,202210,경인선,오류동,798,14326,24984,56223,62154,41469,32049,30584,35446,33268,31253,34081,40048,44748,57739,44542,29881,27284,22846,13824,909,0,0,0,678456
4735,202210,경인선,온수(성공회대입구),214,7471,12832,32632,36781,24795,19209,19815,22024,21012,20202,22249,29182,30346,34198,24524,15945,15143,13153,7283,804,0,0,0,409814
4736,202210,경인선,인천,348,2705,6628,12186,14499,11864,13650,17024,18866,19122,21541,21982,23414,22023,20391,10825,8700,6089,3900,1791,1041,12,0,0,258601
